epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8145240545272827,0.8929378390312195,0.0010000000474974513,0.4129278361797333,0.9324482679367065,0.8037697672843933,0.8741418719291687,0.9466115236282349,0.597976565361023,0.9764918684959412,0.8477237224578857
1,0.83832186460495,0.9204776883125305,0.0010000000474974513,0.35784581303596497,0.9522691965103149,0.8192527890205383,0.4942791759967804,0.9515165090560913,0.6803017854690552,1.0,0.30612245202064514
2,0.8473994135856628,0.9272363185882568,0.0010000000474974513,0.3424740135669708,0.9564710259437561,0.8283406496047974,0.7288329601287842,0.9388483166694641,1.0573991537094116,0.7288329601287842,1.0
3,0.8581942915916443,0.9368956089019775,0.0010000000474974513,0.3167777359485626,0.954770028591156,0.8455065488815308,0.7288329601287842,0.7065556645393372,1.5040757656097412,0.7288329601287842,1.0
4,0.8608930110931396,0.936414361000061,0.0005000000237487257,0.32145532965660095,0.9619523286819458,0.8424772620201111,0.7494279146194458,0.9565672874450684,0.6207262277603149,0.7453051805496216,0.9968602657318115
5,0.8569676280021667,0.9363728761672974,0.0005000000237487257,0.31622564792633057,0.9581734538078308,0.8404577374458313,0.28832951188087463,0.9716464281082153,1.8325709104537964,1.0,0.023547880351543427
6,0.8714426159858704,0.9461485147476196,0.0005000000237487257,0.29159581661224365,0.9678776264190674,0.8519017100334167,0.747139573097229,0.9691956043243408,0.7575523257255554,0.9928910136222839,0.6577708125114441
7,0.8653091192245483,0.9431946277618408,0.0002500000118743628,0.30143439769744873,0.958712100982666,0.8519017100334167,0.823798656463623,0.9650358557701111,0.47754335403442383,0.8076432943344116,0.9952903985977173
8,0.8778213858604431,0.9487835764884949,0.0002500000118743628,0.2833535969257355,0.9643259644508362,0.8643554449081421,0.4016018211841583,0.9700335264205933,1.4521114826202393,1.0,0.17896389961242676
9,0.8711972236633301,0.9459051489830017,0.0002500000118743628,0.2935826778411865,0.9625567197799683,0.8566139340400696,0.7505720853805542,0.9445879459381104,0.7310875058174133,0.7450292110443115,1.0
10,0.8707065582275391,0.9464136362075806,0.0002500000118743628,0.2944328486919403,0.9597441554069519,0.8586334586143494,0.5549198985099792,0.9546430110931396,1.3500566482543945,1.0,0.38932496309280396
